,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
92,205,Mariano Vazquez,Lulu Qin,,,,,,7.500,6.400,7.200,6.550,7.000,,,,,,7.100,7.400,7.150,7.800,7.500,7.160
93,526,Jonathan Cañete,Magdalena Maria,,,,,,7.150,6.200,6.500,7.100,7.200,,,,,,7.300,7.000,7.400,7.900,7.850,7.160
94,225,Luciano Paulino,Dana Zampieri,7.300,7.100,7.350,6.490,6.750,,,,,,6.800,7.460,7.700,7.400,7.200,,,,,,7.155
95,547,Diana Cortés,Laura Flores,,,,,,7.400,6.800,7.050,6.850,7.500,,,,,,6.500,7.200,7.150,7.100,8.000,7.155
96,618,Pedro Zamin,Florencia Mendez,,,,,,7.050,7.100,7.700,7.250,6.850,,,,,,6.400,6.900,7.400,6.900,8.000,7.155
97,581,Nikita Trofimov,Olga Beituganova,,,,,,6.300,7.000,7.500,7.650,6.900,7.100,6.900,7.650,7.000,7.500,,,,,,7.150
98,377,Raúl Choque,Jorgelina Cohen,7.300,6.950,7.220,6.200,6.700,,,,,,7.600,7.400,7.700,7.300,7.100,,,,,,7.147
99,562,Jakub Grzybek,Patrycja Cisowska-Grzybe,,,,,,7.100,6.700,6.850,7.000,7.450,,,,,,7.000,7.300,7.100,7.050,7.900,7.145
100,327,Tania Gutierrez,Sebastian Avendaño,7.000,7.350,7.090,6.490,7.200,,,,,,7.200,7.190,7.500,7.000,7.400,,,,,,7.142
101,83,Pablo Martínez,Barbara Cecilia Benítez,,,,,,7.900,6.700,7.300,6.900,7.350,,,,,,6.900,7.000,7.150,7.200,7.000,7.140
102,192,Daniel Octavo,Marianna Osorio,,,,,,6.900,6.600,7.300,7.250,7.300,,,,,,7.200,7.500,7.300,6.450,7.600,7.140
103,712,Levan Gomelauri,Cecilia Acosta,,,,,,7.300,6.500,6.800,6.950,6.900,,,,,,6.900,7.200,7.300,7.950,7.600,7.140
104,440,Alejandro Paul Lencina,María Victoria Ramírez Me,6.750,7.500,7.270,6.300,7.200,,,,,,6.500,7.500,7.750,7.500,7.100,,,,,,7.137
105,696,Camila Rocha,Kelvin Cal,7.000,6.400,7.190,5.990,7.150,,,,,,7.800,7.490,7.750,7.300,7.200,,,,,,7.127
106,77,Adrián Luppi,Ana Escobar,7.000,6.950,7.800,6.100,6.400,,,,,,7.800,7.280,7.800,6.900,7.200,,,,,,7.123
107,63,Rommel Oramas,Utha Callen,,,,,,7.200,6.700,6.850,6.800,7.350,,,,,,6.850,7.300,7.300,7.850,7.000,7.120
108,442,Alexander Sossa Benitez,Karina Daluda,6.300,7.200,7.400,6.110,7.000,,,,,,7.500,7.500,7.250,7.700,7.200,,,,,,7.116
109,28,Carlos Alberto Martinez,Patricia Laura Gury,,,,,,7.400,6.400,7.300,6.500,7.150,,,,,,7.150,7.200,7.250,7.300,7.500,7.115
110,397,Federico Borquez,Agostina Cala,,,,,,7.100,6.550,6.950,7.450,6.800,,,,,,6.400,7.600,6.900,7.600,7.800,7.115
111,566,Lucas Carrizo,Paula Tejeda,7.400,7.650,7.480,6.010,6.300,,,,,,5.800,7.600,7.650,7.600,7.600,,,,,,7.109
112,11,Carlos Alberto Lafuente,Maria Ofelia Prado,7.500,6.700,7.140,6.010,6.800,,,,,,7.800,7.380,7.040,7.400,7.300,,,,,,7.107
113,4,Federico Heredia,Nadia Caparrós,,,,,,6.100,6.500,7.600,6.950,7.000,,,,,,6.650,7.800,6.900,7.750,7.800,7.105
114,236,Marcelo Hocquart,Fernanda Valenzuela,,,,,,6.500,6.380,7.150,7.600,6.850,,,,,,7.000,7.000,7.400,7.650,7.500,7.103
115,469,Gerardo Lecich,Silvana Meneses,,,,,,6.950,6.100,7.180,6.950,7.550,,,,,,7.000,7.000,7.200,7.600,7.500,7.103
116,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
117,160,Daniel Elio Avila,Andrea Guassardo,,,,,,7.500,6.750,6.900,6.450,7.450,,,,,,7.000,6.600,7.600,6.850,7.850,7.095
118,588,Emile Gayoso,Ekaterina Malko,,,,,,7.800,6.400,6.700,6.950,7.000,,,,,,7.000,7.200,7.300,7.650,6.900,7.090
119,597,Leonardo Sarazola,Jennifer Orjuela,,,,,,7.850,6.550,7.150,6.900,7.150,,,,,,6.700,7.150,7.100,6.900,7.450,7.090
120,265,Rodrigo Ivan Videla,Marina Teves,7.700,7.500,7.020,6.200,5.900,,,,,,7.700,7.410,7.750,7.200,6.500,,,,,,7.088
121,97,Hernán Ariel Rodriguez,Maria Florencia Labiano,6.250,6.850,7.500,6.210,7.200,,,,,,7.500,7.500,7.450,7.100,7.300,,,,,,7.086
122,130,Maxi Copello,Karu Terenzio,6.800,7.250,7.180,6.180,6.350,,,,,,7.500,7.300,7.700,7.600,7.000,,,,,,7.086
123,524,Arturo Zanetti,Anel Marrón,,,,,,6.300,6.300,7.300,7.350,7.000,,,,,,6.700,7.800,6.500,7.800,7.800,7.085
124,112,Dario Artunduaga,Anastasiia Rudiak,6.200,6.950,7.100,7.000,6.650,,,,,,7.800,7.390,7.650,7.300,6.800,,,,,,7.084
125,111,Oscar Buroz,Mercedes Allerbon,,,,,,6.950,6.550,7.200,7.250,6.700,,,,,,6.900,7.200,7.000,7.750,7.300,7.080
126,594,Hernan Camilo Bernal Varela,Mayi Yulie Yepes Arboleda,6.500,7.250,7.200,6.100,6.800,,,,,,7.100,7.300,7.650,7.700,7.200,,,,,,7.080
127,3,Dario Cieri,Rocio De La Torre,7.000,7.100,7.120,6.120,6.200,,,,,,7.800,7.300,7.650,7.400,7.100,,,,,,7.079
128,608,Konstantin Moshinskiy,Analía Alfaro,7.000,7.050,7.380,5.970,6.300,,,,,,7.200,7.320,7.750,7.400,7.400,,,,,,7.077
129,78,Cristian Mosler,Ornella Lowenberg,,,,,,7.300,6.000,7.050,6.950,6.950,,,,,,6.950,7.500,7.300,7.050,7.700,7.075
130,153,Juan Braida,Natasha Kaliszuk Lee,7.000,7.000,7.250,6.020,7.100,,,,,,7.200,7.400,7.550,7.200,7.000,,,,,,7.072
131,181,Alexander Moncada Rojas,Martina Waldman,7.200,7.850,7.130,6.500,7.200,,,,,,6.500,7.390,7.050,7.100,6.800,,,,,,7.072
132,142,Leandro Ariel Vilche,Fuyuko Yagihashi,,,,,,6.800,7.100,5.950,6.500,7.000,,,,,,7.100,7.800,7.150,7.450,7.850,7.070
133,128,Matteo Antonietti,Ravena Abdyli,6.650,6.900,7.430,5.990,6.600,,,,,,7.500,7.450,7.700,7.100,7.300,,,,,,7.062
134,660,Facundo Arnedo,Ana Barros,7.000,6.700,7.150,5.790,6.600,,,,,,7.800,7.340,7.720,7.500,7.000,,,,,,7.060
135,341,John Fredis Rendón Osorio,Diana Ismary González Ló,6.500,7.500,7.020,6.330,6.950,,,,,,7.100,7.400,7.560,6.800,7.400,,,,,,7.056
136,293,Oscar Guillermo Claure,Martina Bordón,,,,,,7.550,7.300,6.750,6.500,6.750,,,,,,7.100,7.000,7.100,7.800,6.700,7.055
137,633,Gustavo Chaile,Micaela Garcia,7.500,7.600,7.100,5.850,6.150,,,,,,7.500,7.300,7.550,7.000,7.000,,,,,,7.055
138,355,Federico Carrizo,Laura Rojas Larrea,7.000,7.400,7.220,5.900,6.700,,,,,,6.800,7.470,7.040,7.400,7.600,,,,,,7.053
